Ninth Doctor,Rose Tyler,16
Ninth Doctor,Jack Harkness,16
Tenth Doctor,Rose Tyler,15
Tenth Doctor,Jack Harkness,13
Tenth Doctor,Martha Jones,13
Tenth Doctor,Donna Noble,15
Tenth Doctor,River Song,11
Tenth Doctor,Gwen Cooper,11
Tenth Doctor,Ianto Jones,11
Tenth Doctor,Eleventh Doctor,4
Eleventh Doctor,River Song,8
Eleventh Doctor,Amy Pond,8
Eleventh Doctor,Rory Williams,8
Eleventh Doctor,Clara Oswald,5
Twelth Doctor,River Song,2
Twelth Doctor,Clara Oswald,3
Twelth Doctor,Bill Potts,1
Rose Tyler,Jack Harkness,16
Rose Tyler,Martha Jones,11
Rose Tyler,Donna Noble,11
Rose Tyler,Gwen Cooper,11
Rose Tyler,Ianto Jones,11
Jack Harkness,Martha Jones,13
Jack Harkness,Donna Noble,11
Jack Harkness,Gwen Cooper,14
Jack Harkness,Ianto Jones,14
Jack Harkness,Owen Harper,14
Jack Harkness,Toshiko Sato,14
Jack Harkness,Suzie Costello,14
Jack Harkness,Lois Habiba,9
Jack Harkness,Rex Matheson,6
Jack Harkness,Esther Drummond,6
Jack Harkness,Vera Juarez,6
Martha Jones,Donna Noble,11
Martha Jones,Gwen Cooper,12
Martha Jones,Ianto Jones,12
Martha Jones,Owen Harper,12
Martha Jones,Toshiko Sato,12
Donna Noble,River Song,11
Donna Noble,Gwen Cooper,11
Donna Noble,Ianto Jones,11
River Song,Amy Pond,8
River Song,Rory Williams,8
River Song,Clara Oswald,5
Amy Pond,Rory Williams,8
Amy Pond,Clara Oswald,5
Rory Williams,Clara Oswald,5
Gwen Cooper,Ianto Jones,14
Gwen Cooper,Owen Harper,14
Gwen Cooper,Toshiko Sato,14
Gwen Cooper,Suzie Costello,14
Gwen Cooper,Lois Habiba,9
Gwen Cooper,Rex Matheson,6
Gwen Cooper,Esther Drummond,6
Gwen Cooper,Vera Juarez,6
Ianto Jones,Owen Harper,14
Ianto Jones,Toshiko Sato,14
Ianto Jones,Lois Habiba,9
Owen Harper,Toshiko Sato,14
Owen Harper,Suzie Costello,14
Toshiko Sato,Suzie Costello,14
Rex Matheson,Esther Drummond,6
Rex Matheson,Vera Juarez,6
Esther Drummond,Vera Juarez,6
